1.709197,2
2.606695,2
3.484244,2
4.24631,2
5.089572,2
5.984451,2
6.796379,2
7.62451,0
8.055346,0
8.5023,0
8.933255,0
9.356846,0
9.787738,0
10.2181,0
10.64882,0
11.09612,4
11.52761,4
11.95759,4
12.37177,4
12.78597,4
15.31758,0
16.5765,1
18.29271,4
19.63461,3
21.76758,0
23.29171,4
24.74958,1
26.41833,3
27.36263,2
28.85445,0
29.96474,1
30.82127,0
31.73245,1
32.5445,0
33.43881,4
34.26724,3
35.10762,4
35.93596,3
36.79761,4
37.67581,3
38.5217,4
39.38517,2
40.23008,2
41.10811,2
42.02023,0
42.81448,0
43.68036,4
44.50869,4
45.33702,2
46.19848,2
46.92742,2
47.36215,2
47.76012,2
47.97512,2
48.78688,0
49.61522,4
50.50982,1
51.32159,3
52.2513,0
52.64833,1
53.04588,4
53.50974,3
53.90763,2
54.30526,2
54.70254,2
55.0839,2
55.47657,0
56.25469,4
56.95049,1
57.36465,3
59.90728,0
60.30582,1
60.70248,2
61.5808,3
61.96189,4
63.33677,4
63.99649,4
65.02386,0
65.90166,0
66.76312,1
67.62488,1
68.45002,3
69.27818,3
70.1729,2
71.03423,0
71.82967,4
72.58775,1
73.59843,3
74.90707,0
75.37094,1
76.18271,4
76.54717,3
77.0164,2
77.66212,2
78.29153,2
79.65,0
81.31965,1
82.01516,4
82.92645,3
83.43974,3
83.88708,4
84.78164,2
86.53468,2
87.37935,2
89.01945,0
89.43384,1
89.76283,2
90.70714,4
91.08824,3
91.40293,2
92.47986,0
92.84483,1
93.17558,4
93.52349,3
95.11047,2
96.28613,2
97.11517,2
98.10836,2
99.55212,0
102.3189,2
